age,two_year_recid,priors_count,length_of_stay,race,unrelated_column_one,unrelated_column_two,c_charge_degree_F,c_charge_degree_M,sex_Female,sex_Male,y
29,1,3,1,1,1,0,1,0,0,1,1
25,0,0,0,1,1,0,0,1,1,0,1
37,0,0,19,0,1,1,1,0,0,1,1
35,1,1,79,1,0,0,0,1,0,1,0
25,0,2,2,0,1,0,1,0,0,1,1
56,0,0,1,0,1,1,1,0,0,1,1
21,0,2,36,1,1,0,1,0,0,1,0
20,1,1,0,1,1,1,1,0,0,1,0
31,0,0,1,1,0,0,1,0,0,1,1
28,0,4,0,1,1,0,1,0,1,0,1
49,0,4,0,1,0,1,0,1,0,1,1
34,1,10,0,1,0,0,1,0,0,1,0
25,1,1,0,1,0,0,1,0,0,1,1
42,0,3,1,1,0,0,1,0,0,1,1
43,1,7,1,1,1,1,1,0,0,1,1
23,0,3,6,1,1,0,0,1,0,1,1
30,1,0,1,0,0,1,1,0,0,1,1
37,1,23,-1,1,0,1,0,1,1,0,0
24,0,0,1,1,1,0,1,0,0,1,0
27,1,2,0,1,0,0,1,0,0,1,0
37,0,4,1,1,1,0,1,0,0,1,1
21,0,0,0,1,0,1,1,0,0,1,1
32,0,0,0,1,1,0,0,1,0,1,1
31,0,6,1,0,1,1,0,1,0,1,1
33,0,4,7,1,0,0,1,0,0,1,1
26,1,4,2,0,1,0,1,0,0,1,1
51,0,1,1,0,0,1,0,1,1,0,1
26,1,7,0,0,1,0,1,0,0,1,0
27,1,1,14,0,1,0,1,0,0,1,1
21,1,0,-1,0,1,1,1,0,0,1,1
54,1,8,-1,1,0,0,1,0,0,1,1
29,0,5,1,1,1,0,1,0,0,1,0
38,0,2,0,0,1,0,0,1,1,0,1
25,1,2,0,1,0,0,1,0,1,0,0
42,0,1,1,1,0,0,1,0,0,1,1
29,1,7,8,1,0,0,0,1,0,1,0
23,1,1,0,1,0,1,1,0,0,1,1
36,0,0,0,0,0,1,0,1,1,0,1
37,1,2,0,1,0,0,0,1,0,1,0
60,0,4,1,0,1,0,1,0,0,1,1
39,0,4,118,1,0,1,1,0,0,1,0
52,1,0,0,1,1,1,0,1,0,1,1
43,0,0,0,0,1,1,0,1,1,0,1
21,0,0,77,1,0,0,1,0,1,0,0
25,0,3,1,1,1,1,1,0,0,1,0
24,0,0,1,0,0,0,1,0,0,1,1
54,1,0,20,0,0,0,1,0,1,0,1
20,1,0,0,0,1,0,0,1,0,1,1
33,0,8,1,1,0,0,1,0,0,1,1
51,0,1,1,0,0,0,0,1,0,1,1
30,0,4,29,0,0,0,1,0,1,0,1
24,1,0,0,1,0,1,1,0,0,1,1
23,0,2,2,0,1,0,1,0,0,1,1
32,0,0,1,0,1,0,1,0,0,1,1
25,1,2,1,0,0,0,1,0,0,1,1
44,0,16,81,0,0,0,0,1,0,1,1
25,1,1,1,1,0,1,0,1,0,1,1
42,1,2,1,0,0,0,1,0,0,1,1
24,1,3,97,0,0,1,1,0,0,1,1
23,1,1,2,1,0,1,1,0,0,1,1
24,1,0,22,1,0,0,1,0,0,1,1
22,1,1,4,1,0,1,1,0,0,1,0
30,1,18,1,1,0,0,0,1,0,1,0
29,0,3,0,0,1,1,1,0,1,0,1
42,0,1,0,1,1,0,1,0,0,1,1
30,1,2,5,0,0,1,0,1,0,1,1
21,0,1,13,1,0,1,1,0,0,1,0
43,0,4,2,0,0,0,0,1,0,1,1
32,0,1,1,1,0,1,1,0,0,1,1
58,0,3,2,0,1,0,1,0,0,1,1
51,1,0,0,0,1,0,0,1,1,0,1
21,1,1,1,0,1,1,1,0,0,1,1
28,0,0,0,1,0,0,1,0,0,1,1
37,1,1,8,0,1,0,1,0,0,1,1
23,0,4,31,1,0,0,1,0,0,1,0
52,0,2,1,0,1,0,1,0,0,1,1
25,1,4,43,1,1,0,1,0,0,1,1
58,0,1,0,0,0,1,1,0,0,1,1
26,1,6,2,1,0,1,1,0,0,1,1
22,1,7,11,1,1,0,1,0,0,1,0
30,1,14,22,1,1,1,1,0,0,1,1
27,1,5,64,1,0,1,0,1,0,1,1
52,1,7,117,1,1,1,1,0,0,1,0
48,1,10,4,1,0,0,1,0,0,1,1
55,0,0,0,0,1,1,0,1,0,1,1
50,1,3,33,0,0,1,1,0,0,1,0
28,1,2,10,0,1,0,1,0,0,1,1
22,0,1,0,0,1,0,0,1,0,1,1
54,0,0,1,0,1,0,0,1,0,1,1
51,0,1,17,0,1,1,1,0,0,1,1
34,0,0,1,1,1,0,0,1,1,0,1
22,1,0,0,1,1,1,0,1,1,0,0
35,0,1,1,1,0,0,0,1,0,1,1
27,0,1,44,1,0,0,1,0,1,0,1
24,0,0,1,0,1,1,1,0,0,1,1
50,0,0,0,0,1,0,0,1,0,1,1
35,1,0,87,0,0,1,1,0,0,1,1
23,0,0,25,1,1,1,1,0,1,0,1
66,1,0,0,0,1,1,0,1,0,1,1
30,1,2,1,1,1,1,1,0,0,1,1
32,1,3,37,1,0,1,1,0,0,1,1
26,0,2,0,0,0,0,0,1,1,0,1
27,0,1,1,0,1,1,1,0,0,1,1
31,1,2,176,1,1,1,1,0,1,0,1
39,0,0,54,0,0,1,1,0,0,1,1
67,1,4,27,1,1,0,0,1,0,1,1
38,1,7,1,0,0,1,1,0,0,1,1
46,0,12,2,1,1,1,0,1,0,1,1
43,1,6,0,0,1,0,0,1,0,1,1
51,1,0,7,0,1,1,0,1,1,0,1
51,1,7,3,1,1,1,0,1,0,1,1
56,0,1,1,0,0,0,1,0,0,1,1
21,1,0,-1,0,1,1,1,0,0,1,1
39,0,2,-1,0,0,0,0,1,0,1,1
24,0,0,-1,1,0,0,1,0,0,1,1
26,1,2,0,0,1,0,1,0,0,1,0
21,0,0,0,1,1,0,0,1,1,0,1
68,0,2,0,1,0,0,1,0,0,1,1
43,0,20,1,1,0,1,1,0,0,1,0
26,1,5,1,0,0,0,1,0,0,1,1
26,1,2,4,1,0,0,1,0,0,1,1
36,0,9,1,1,0,1,0,1,0,1,0
21,1,2,5,0,0,1,1,0,0,1,0
54,0,10,30,1,1,1,1,0,0,1,1
28,1,2,1,1,0,1,1,0,0,1,1
46,0,0,0,1,1,1,1,0,0,1,1
33,1,2,9,0,0,1,1,0,1,0,1
23,0,0,0,1,0,1,0,1,1,0,1
35,1,0,1,1,0,0,1,0,1,0,1
26,0,0,2,0,1,0,1,0,0,1,1
25,0,1,0,0,1,1,1,0,0,1,1
37,0,1,8,1,0,0,1,0,1,0,1
44,0,0,2,0,1,0,0,1,0,1,1
52,0,0,0,0,0,0,0,1,0,1,1
34,1,13,1,1,0,0,1,0,0,1,1
31,0,0,0,0,1,0,0,1,0,1,1
53,1,0,1,1,1,0,0,1,0,1,1
44,1,3,11,0,1,0,1,0,1,0,1
20,1,1,1,1,1,1,0,1,0,1,1
26,1,6,1,1,1,0,0,1,0,1,0
59,0,0,1,0,0,0,0,1,0,1,1
41,0,8,1,1,1,1,1,0,0,1,1
27,0,2,3,1,1,1,1,0,0,1,1
25,1,5,49,1,0,0,1,0,0,1,1
29,1,5,0,1,0,0,1,0,0,1,0
31,0,2,16,0,1,0,1,0,0,1,1
56,0,0,5,1,1,0,1,0,0,1,1
25,1,5,3,1,1,0,0,1,0,1,0
50,0,0,2,1,0,1,1,0,0,1,1
36,0,0,280,1,0,0,1,0,0,1,1
31,0,0,1,0,0,1,0,1,0,1,1
22,1,0,149,1,1,1,1,0,0,1,1
32,1,17,0,1,1,1,1,0,0,1,0
30,0,1,4,1,1,0,0,1,0,1,1
28,1,12,76,1,1,1,1,0,0,1,0
21,1,4,0,1,0,0,0,1,1,0,0
63,0,3,220,1,0,1,0,1,0,1,0
50,0,0,2,0,0,0,1,0,0,1,1
29,0,0,-1,0,0,1,0,1,1,0,1
29,1,0,3,0,1,0,0,1,0,1,1
21,0,0,1,1,0,0,1,0,0,1,0
24,0,0,0,1,0,1,0,1,1,0,1
29,0,4,0,1,0,0,0,1,0,1,1
67,0,8,1,1,1,1,1,0,0,1,1
40,1,23,31,1,0,0,0,1,0,1,1
29,1,0,1,0,0,0,0,1,1,0,1
26,0,0,1,0,1,1,0,1,0,1,1
41,1,4,0,0,0,1,1,0,0,1,1
23,1,6,84,0,0,0,1,0,0,1,0
25,0,5,0,1,1,1,1,0,1,0,1
35,1,7,0,1,1,0,1,0,0,1,1
35,0,1,28,0,0,0,0,1,1,0,1
49,0,2,1,1,0,1,1,0,0,1,1
30,1,8,64,1,0,1,1,0,0,1,0
26,0,1,1,0,0,1,0,1,0,1,1
29,1,11,23,1,0,0,1,0,1,0,0
40,0,2,1,0,1,0,0,1,0,1,1
56,0,1,2,1,1,0,1,0,0,1,1
41,0,1,2,1,1,0,1,0,0,1,1
31,1,1,1,0,1,0,1,0,0,1,1
24,0,0,2,1,1,0,1,0,0,1,1
22,0,1,1,1,0,0,0,1,0,1,1
30,1,8,54,1,0,0,1,0,0,1,1
61,1,2,3,0,0,1,1,0,0,1,1
24,1,1,0,1,0,0,0,1,0,1,1
24,0,2,15,0,0,0,0,1,0,1,1
57,0,0,109,0,1,1,0,1,0,1,1
79,0,1,1,0,1,1,0,1,0,1,1
24,1,0,1,1,0,0,0,1,0,1,1
21,1,2,7,1,0,0,1,0,0,1,1
41,0,5,0,1,1,0,0,1,0,1,1
27,1,17,1,1,1,1,1,0,0,1,1
50,0,1,9,0,1,1,1,0,0,1,1
26,1,3,0,1,0,1,1,0,0,1,1
31,0,5,0,1,1,1,0,1,0,1,0
51,0,1,162,1,1,0,1,0,0,1,1
29,0,0,0,0,1,1,1,0,0,1,1
45,0,4,3,1,0,0,0,1,0,1,1
35,1,4,31,0,0,0,1,0,0,1,1
27,0,0,0,0,1,0,0,1,0,1,1
21,1,0,1,1,1,1,0,1,0,1,0
33,0,0,0,0,1,1,1,0,0,1,1
30,1,3,2,1,1,0,1,0,0,1,1
30,0,0,23,0,0,0,0,1,0,1,1
20,1,2,52,0,1,0,1,0,0,1,0
53,0,1,0,0,1,1,1,0,0,1,1
39,0,1,4,1,1,0,1,0,0,1,1
62,0,2,3,0,0,0,1,0,0,1,1
43,1,4,25,1,0,0,1,0,0,1,1
24,0,0,1,0,0,0,1,0,1,0,1
34,0,4,0,0,0,0,1,0,0,1,1
21,0,1,0,0,1,1,0,1,0,1,1
48,0,1,21,0,0,1,1,0,0,1,1
25,0,0,0,1,0,0,0,1,0,1,1
49,1,0,4,1,1,1,0,1,0,1,1
39,1,0,2,0,0,1,1,0,0,1,1
26,1,7,18,0,0,1,1,0,0,1,1
42,0,1,-1,1,0,1,1,0,1,0,1
21,0,0,13,1,1,1,1,0,0,1,1
32,0,0,24,1,1,1,1,0,0,1,1
28,1,6,5,1,0,1,0,1,0,1,1
53,1,10,4,1,0,0,1,0,1,0,1
26,0,1,1,0,0,1,0,1,0,1,1
27,1,0,0,1,1,1,1,0,0,1,1
40,1,0,8,0,0,0,1,0,0,1,1
21,0,0,0,0,1,0,1,0,0,1,0
36,1,3,1,0,0,1,1,0,1,0,1
22,1,2,13,0,0,1,0,1,0,1,1
26,1,10,1,1,0,0,1,0,0,1,0
27,1,9,799,1,1,1,1,0,0,1,0
26,1,4,293,0,0,1,0,1,0,1,1
39,0,0,1,0,1,0,1,0,0,1,1
35,0,2,1,0,1,1,1,0,0,1,1
42,1,1,17,1,1,0,0,1,0,1,1
20,1,0,3,0,0,1,1,0,0,1,1
64,1,8,0,1,0,0,0,1,0,1,1
38,0,2,1,0,1,0,1,0,0,1,1
21,1,0,0,0,0,1,1,0,0,1,1
20,1,1,0,1,1,1,0,1,0,1,0
33,1,7,0,1,0,0,1,0,0,1,1
61,0,12,241,1,0,1,1,0,0,1,1
37,0,2,1,0,0,1,0,1,0,1,1
25,0,1,4,1,0,0,1,0,1,0,1
22,0,1,8,0,0,1,0,1,0,1,1
32,1,3,2,1,1,1,1,0,0,1,1
30,0,3,65,0,0,0,1,0,0,1,1
24,1,17,130,1,1,0,1,0,0,1,0
33,0,0,0,1,1,0,0,1,0,1,1
37,0,4,0,0,0,0,0,1,0,1,1
51,0,0,-1,0,0,0,1,0,0,1,1
42,0,0,0,0,0,1,0,1,1,0,1
36,0,1,40,0,1,1,1,0,0,1,1
38,0,0,158,0,1,1,1,0,0,1,1
52,0,1,9,1,1,1,0,1,0,1,1
27,1,13,2,1,0,0,1,0,0,1,1
57,0,0,27,0,1,0,1,0,0,1,1
37,1,1,1,0,1,1,0,1,0,1,1
42,1,17,8,1,0,0,1,0,1,0,0
51,1,6,18,0,0,0,0,1,0,1,1
32,0,1,10,0,1,0,0,1,1,0,1
70,1,11,12,0,1,0,1,0,0,1,1
30,1,1,1,0,0,1,1,0,0,1,1
28,1,1,0,1,1,1,1,0,0,1,1
20,0,0,1,1,1,1,1,0,0,1,1
58,1,12,3,1,0,0,0,1,0,1,1
36,0,6,0,1,0,1,0,1,0,1,1
56,1,0,-1,0,0,0,0,1,0,1,1
45,0,7,1,1,0,1,1,0,0,1,1
38,0,0,0,0,1,0,0,1,0,1,1
25,1,0,20,0,1,1,1,0,0,1,1
26,1,4,0,1,1,1,1,0,0,1,0
44,0,1,1,0,1,0,1,0,0,1,1
50,0,2,0,0,1,0,0,1,0,1,1
20,1,2,21,0,0,0,1,0,0,1,0
23,1,0,0,1,0,0,0,1,0,1,0
48,0,0,2,0,0,0,1,0,0,1,1
32,1,15,7,1,1,0,1,0,0,1,0
23,0,0,1,0,0,0,1,0,0,1,1
24,1,0,0,0,0,1,1,0,0,1,1
28,0,3,45,0,0,1,0,1,1,0,1
31,0,2,1,1,0,1,1,0,1,0,1
24,1,3,7,0,0,0,1,0,0,1,1
27,0,0,-1,1,1,1,1,0,0,1,1
33,0,0,10,0,0,1,0,1,0,1,1
53,0,2,40,0,1,0,1,0,0,1,1
28,1,3,0,0,1,1,0,1,0,1,1
31,1,0,1,1,1,0,1,0,1,0,1
29,0,11,0,1,1,0,0,1,0,1,0
54,0,0,29,0,0,1,0,1,1,0,1
54,0,11,1,1,0,0,1,0,0,1,0
53,0,1,0,1,1,1,0,1,0,1,1
20,1,1,1,1,1,1,1,0,0,1,1
27,1,0,6,1,0,1,0,1,1,0,0
21,1,0,0,0,1,0,1,0,0,1,0
25,0,0,34,1,1,0,1,0,0,1,1
35,0,0,1,1,1,1,0,1,0,1,1
43,1,2,7,0,0,0,1,0,0,1,1
30,0,1,0,0,0,1,0,1,1,0,1
36,0,0,0,0,1,0,0,1,0,1,1
32,0,1,0,0,1,1,1,0,1,0,1
39,0,3,13,0,1,1,1,0,0,1,1
28,1,0,0,0,1,0,0,1,0,1,1
57,1,8,99,1,1,1,1,0,0,1,1
25,0,0,0,0,1,1,0,1,1,0,1
30,0,1,0,1,0,0,1,0,0,1,1
38,0,3,1,1,1,0,1,0,0,1,1
25,1,1,1,1,0,1,0,1,1,0,0
24,0,0,1,1,1,0,1,0,1,0,1
24,1,1,0,1,0,0,1,0,0,1,1
33,1,18,1,1,1,1,1,0,0,1,0
20,1,0,0,1,1,1,1,0,0,1,1
27,1,8,25,1,1,1,1,0,0,1,1
22,1,1,1,0,1,1,0,1,0,1,1
41,0,2,0,1,1,0,1,0,0,1,1
22,0,0,2,1,1,1,0,1,0,1,0
40,1,4,5,0,0,0,1,0,1,0,1
58,0,2,5,0,0,0,1,0,0,1,1
33,1,18,0,1,1,1,1,0,0,1,0
24,0,0,0,1,0,0,0,1,0,1,1
53,0,0,4,0,0,0,0,1,0,1,1
36,1,9,0,1,1,0,1,0,0,1,1
26,1,9,1,0,1,1,0,1,0,1,1
47,0,5,0,1,0,0,1,0,0,1,1
40,0,1,0,0,0,0,1,0,0,1,1
25,1,7,20,1,1,1,1,0,0,1,0
24,1,6,45,1,0,1,1,0,0,1,0
19,1,3,30,1,0,0,1,0,0,1,1
24,1,3,17,0,0,0,1,0,0,1,0
45,0,0,1,0,1,0,1,0,0,1,1
28,1,8,2,1,1,0,1,0,0,1,0
43,0,0,0,0,0,0,0,1,0,1,1
40,0,0,64,0,1,0,1,0,0,1,1
71,0,1,3,0,0,1,0,1,0,1,1
25,1,9,0,0,1,0,1,0,0,1,0
50,1,24,32,1,0,1,0,1,0,1,0
47,0,0,-1,0,0,1,0,1,0,1,1
22,1,3,1,0,0,1,1,0,0,1,0
31,0,0,0,0,1,1,1,0,0,1,1
37,0,3,0,1,1,0,0,1,0,1,1
27,1,15,48,1,0,0,1,0,0,1,0
22,0,0,1,1,0,1,1,0,0,1,1
45,0,0,0,0,1,0,1,0,0,1,1
32,1,0,1,1,0,1,0,1,1,0,1
31,0,6,41,1,0,1,1,0,0,1,1
42,0,8,1,1,0,1,1,0,0,1,1
35,1,23,1,1,1,0,1,0,0,1,0
32,0,1,2,0,1,0,1,0,0,1,1
24,0,1,0,1,0,0,1,0,0,1,1
31,0,0,2,0,0,1,1,0,0,1,1
30,0,2,6,0,0,1,1,0,0,1,1
35,1,0,1,0,1,0,1,0,0,1,1
34,0,0,116,0,1,0,1,0,0,1,1
32,0,8,4,1,0,1,1,0,0,1,1
30,1,7,0,0,0,1,1,0,0,1,0
57,1,20,33,1,1,1,1,0,0,1,1
36,0,0,0,0,0,1,0,1,0,1,1
52,1,0,1,1,1,1,0,1,0,1,1
26,1,1,0,0,1,1,0,1,0,1,1
47,0,2,0,0,1,0,1,0,0,1,1
24,0,0,6,0,0,0,1,0,0,1,1
31,1,4,0,1,0,1,1,0,0,1,1
43,0,2,5,1,0,1,1,0,0,1,1
32,1,4,1,1,0,0,1,0,0,1,1
26,1,9,2,1,0,0,1,0,0,1,0
48,1,3,1,1,1,0,1,0,0,1,1
41,1,2,161,0,0,1,1,0,0,1,0
35,1,6,1,1,0,0,1,0,1,0,1
38,0,2,19,0,1,0,1,0,0,1,1
30,0,0,1,1,0,1,1,0,0,1,1
36,1,13,2,1,1,0,1,0,0,1,0
40,0,0,0,0,1,1,0,1,0,1,1
22,1,0,0,1,1,1,0,1,0,1,1
26,1,1,2,1,0,0,1,0,1,0,1
25,0,0,1,1,1,1,0,1,0,1,1
33,0,2,4,0,0,1,0,1,0,1,1
22,1,2,24,0,0,0,0,1,0,1,1
49,0,0,1,1,0,0,1,0,1,0,1
32,1,2,1,1,0,0,1,0,0,1,1
26,0,2,28,1,1,1,0,1,0,1,1
55,1,33,242,0,0,0,1,0,0,1,0
39,0,2,6,0,0,1,1,0,1,0,1
30,1,13,474,1,0,1,1,0,0,1,0
