population numeric,householdsize numeric,racepctblack numeric,racePctWhite numeric,racePctAsian numeric,racePctHisp numeric,agePct12t21 numeric,agePct12t29 numeric,agePct16t24 numeric,agePct65up numeric,numbUrban numeric,pctUrban numeric,medIncome numeric,pctWWage numeric,pctWFarmSelf numeric,pctWInvInc numeric,pctWSocSec numeric,pctWPubAsst numeric,pctWRetire numeric,medFamInc numeric,perCapInc numeric,whitePerCap numeric,blackPerCap numeric,indianPerCap numeric,AsianPerCap numeric,HispPerCap numeric,NumUnderPov numeric,PctPopUnderPov numeric,PctLess9thGrade numeric,PctNotHSGrad numeric,PctBSorMore numeric,PctUnemployed numeric,PctEmploy numeric,PctEmplManu numeric,PctEmplProfServ numeric,PctOccupManu numeric,PctOccupMgmtProf numeric,MalePctDivorce numeric,MalePctNevMarr numeric,FemalePctDiv numeric,TotalPctDiv numeric,PersPerFam numeric,PctFam2Par numeric,PctKids2Par numeric,PctYoungKids2Par numeric,PctTeen2Par numeric,PctWorkMomYoungKids numeric,PctWorkMom numeric,NumIlleg numeric,PctIlleg numeric,NumImmig numeric,PctImmigRecent numeric,PctImmigRec5 numeric,PctImmigRec8 numeric,PctImmigRec10 numeric,PctRecentImmig numeric,PctRecImmig5 numeric,PctRecImmig8 numeric,PctRecImmig10 numeric,PctSpeakEnglOnly numeric,PctNotSpeakEnglWell numeric,PctLargHouseFam numeric,PctLargHouseOccup numeric,PersPerOccupHous numeric,PersPerOwnOccHous numeric,PersPerRentOccHous numeric,PctPersOwnOccup numeric,PctPersDenseHous numeric,PctHousLess3BR numeric,MedNumBR numeric,HousVacant numeric,PctHousOccup numeric,PctHousOwnOcc numeric,PctVacantBoarded numeric,PctVacMore6Mos numeric,MedYrHousBuilt numeric,PctHousNoPhone numeric,PctWOFullPlumb numeric,OwnOccLowQuart numeric,OwnOccMedVal numeric,OwnOccHiQuart numeric,RentLowQ numeric,RentMedian numeric,RentHighQ numeric,MedRent numeric,MedRentPctHousInc numeric,MedOwnCostPctInc numeric,MedOwnCostPctIncNoMtg numeric,NumInShelters numeric,NumStreet numeric,PctForeignBorn numeric,PctBornSameState numeric,PctSameHouse85 numeric,PctSameCity85 numeric,PctSameState85 numeric,LemasSwornFT numeric,LemasSwFTPerPop numeric,PctUsePubTrans numeric,PolicCars numeric,PolicOperBudg numeric,unrelated_column_one,unrelated_column_two,response
12703,2.55,0.78,96.92,0.24,0.57,13.58,25.71,12.63,14.19,0,0.0,21344,75.93,3.34,44.66,32.31,4.57,11.46,28959,10964,11156,4190,4626,3289,6928,1453,12.07,13.43,20.81,20.51,2.18,65.21,19.68,30.76,15.59,24.31,8.66,28.93,8.92,8.8,3.05,77.28,77.56,85.09,78.69,77.04,82.87,194,1.91,103,4.85,4.85,9.71,27.18,0.04,0.04,0.08,0.22,94.79,0.58,3.71,2.35,2.36,2.68,1.87,69.08,1.35,51.94,2,242,95.36,61.0,0.0,38.43,1963,4.54,0.34,37500,49900,66600,29100,164,229,293,129,286,23.8,20.1,14.3,0,0,0.81,67.51,48.87,74.71,84.84,7.7,1655.8,0.0,1,1,1
11005,2.3,1.39,95.12,1.48,5.27,9.53,23.37,10.74,19.66,11005,100.0,33120,73.27,0.54,49.22,38.12,6.08,17.47,43414,19038,19070,32182,8797,17713,9812,726,6.64,5.66,20.55,15.4,3.35,62.77,3.7,16.61,5.35,23.7,8.86,33.67,12.3,10.72,2.87,70.2,67.74,78.66,68.74,40.73,62.99,176,2.09,884,4.64,12.1,14.25,19.23,0.37,0.97,1.14,1.54,85.96,0.75,3.57,2.28,2.3,2.42,2.12,63.37,2.11,43.32,3,2473,65.92,60.32,0.57,62.96,1952,1.28,0.0,106000,137700,187100,81100,452,580,680,228,652,28.9,22.8,16.3,0,0,8.03,45.5,61.34,85.42,90.1,2.2,4955.4,12.79,0,1,1
24730,2.34,0.21,98.63,0.67,1.01,11.5,22.54,11.15,21.77,0,0.0,20927,64.73,0.25,44.64,44.3,8.6,21.07,26818,11512,11359,14762,8251,41141,8886,3292,13.48,11.83,28.34,10.31,6.05,51.83,26.25,22.9,24.77,20.07,8.11,30.66,9.59,8.93,2.97,72.57,70.75,76.9,70.12,46.01,56.71,373,1.86,619,10.34,11.63,14.7,19.71,0.26,0.29,0.37,0.49,93.38,0.6,3.92,2.51,2.32,2.49,2.05,64.84,1.0,39.43,3,769,93.22,60.33,2.21,56.83,1939,2.91,0.31,29800,43900,67600,37800,179,242,312,133,306,24.1,19.3,14.6,0,0,2.5,88.85,69.51,90.66,95.63,6.2,3994.6,1.43,0,1,1
11880,2.53,8.43,90.66,0.28,1.05,12.72,25.83,12.35,14.65,0,0.0,26777,75.69,0.73,31.35,33.16,6.53,18.55,31531,12062,12299,9788,3956,25571,9253,1070,9.21,19.45,41.92,8.06,6.16,60.67,12.73,20.15,16.35,17.76,11.6,26.11,13.33,12.52,3.03,71.9,67.06,89.05,73.18,68.15,72.71,180,1.85,161,3.11,3.11,23.6,23.6,0.04,0.04,0.32,0.32,96.6,0.58,4.3,2.94,2.49,2.57,2.37,62.27,2.21,42.87,3,284,94.3,60.33,3.52,44.37,1964,8.09,0.68,63000,81000,105400,42400,252,336,417,165,411,22.9,21.9,11.7,0,0,1.36,72.3,52.55,78.6,91.72,9.6,1238.5,1.27,1,0,1
13899,2.88,0.22,92.58,0.22,13.2,15.69,28.64,13.65,10.32,13806,100.0,28642,78.99,0.21,26.35,27.95,6.12,19.5,31882,10343,10542,12929,0,600,7920,1604,11.73,11.66,37.09,3.91,7.58,58.62,26.29,16.42,28.93,9.35,12.55,27.5,13.71,13.15,3.29,73.78,68.98,79.92,79.49,50.56,59.5,242,2.1,378,1.85,4.76,4.76,4.76,0.05,0.13,0.13,0.13,88.39,1.48,6.89,5.24,2.86,2.84,2.93,75.75,5.28,48.83,3,240,95.26,76.3,9.58,54.17,1956,5.03,0.14,28100,36400,45500,17400,226,278,328,102,399,23.6,14.6,13.7,0,0,2.74,66.36,59.77,85.98,92.72,8.6,1617.7,0.8,0,0,0
92788,2.82,12.96,80.24,1.71,6.32,14.05,28.6,13.95,10.85,92788,100.0,31712,77.36,0.38,31.53,25.67,14.5,13.75,38544,13455,14569,9428,9675,10390,6980,12396,13.64,7.74,25.62,12.94,9.22,60.71,17.53,22.64,17.53,20.04,9.3,36.9,13.49,11.52,3.32,65.2,61.08,67.2,68.13,58.98,66.58,4850,6.75,10391,16.29,28.56,36.48,44.08,1.82,3.2,4.09,4.94,82.24,3.44,7.54,5.35,2.76,3.06,2.41,59.15,4.02,49.3,3,2526,92.86,53.32,4.79,31.31,1954,4.79,0.95,113100,131700,148400,35300,316,491,613,297,571,29.3,22.9,15.0,253,7,11.2,75.2,56.34,78.78,92.6,22.2,4171.7,5.54,1,1,0
14852,2.8,4.11,84.71,9.27,4.78,11.38,23.72,11.04,9.57,14852,100.0,61271,86.77,0.82,67.04,17.14,1.57,22.9,64560,23729,25363,17242,23261,13022,15802,459,3.1,4.44,10.16,45.16,2.5,72.97,4.65,26.07,4.29,45.8,7.41,30.42,9.6,8.51,3.1,85.0,81.76,94.34,84.46,60.14,74.87,141,1.38,2310,31.86,38.92,49.18,58.27,4.96,6.05,7.65,9.06,79.61,4.69,5.01,3.92,2.79,2.74,2.99,79.65,3.15,14.78,3,164,97.0,81.02,1.83,28.66,1962,0.32,0.0,180700,208600,255100,74400,660,759,1001,341,930,27.1,22.2,11.9,0,0,15.55,23.6,55.7,70.32,77.68,4.5,3285.8,8.94,1,0,1
54021,2.54,12.43,84.12,2.03,3.57,11.86,27.72,13.18,13.39,54021,100.0,35723,81.36,0.65,40.72,28.21,4.89,16.83,41907,15810,16291,13643,14383,11474,12975,3190,6.06,8.49,25.52,17.18,5.45,65.53,18.23,23.03,13.64,23.77,9.31,34.47,12.38,10.93,3.05,71.24,68.64,81.27,75.22,59.63,71.91,1311,3.55,4521,13.03,20.48,31.3,39.68,1.09,1.71,2.62,3.32,86.98,1.63,4.24,2.8,2.48,2.73,2.15,61.78,2.49,57.29,2,1395,93.85,56.06,0.86,24.44,1958,1.91,0.28,126300,147000,170700,44400,437,534,622,185,621,26.4,23.6,15.0,64,0,8.37,70.31,59.11,86.26,91.48,11.2,4812.3,3.35,0,0,1
63126,2.53,1.18,89.76,3.17,13.78,11.12,24.15,11.03,12.11,63126,100.0,45739,78.29,0.92,53.79,24.44,4.03,19.15,51019,21764,22545,21090,18008,22607,9823,4284,6.84,4.12,10.4,35.8,4.81,66.16,13.97,22.6,7.08,37.84,10.82,28.9,15.11,12.96,2.92,77.58,75.48,90.74,75.2,55.93,66.55,839,2.06,8003,19.91,28.91,37.65,44.38,2.52,3.67,4.77,5.63,83.53,3.78,4.27,2.92,2.47,2.52,2.39,63.5,4.11,49.28,3,2240,91.78,62.24,0.54,12.68,1980,0.8,0.23,195500,255900,332200,136700,573,711,910,337,774,28.9,27.4,11.6,5,936,12.68,38.71,31.55,65.03,80.74,39.0,1617.6,2.72,1,0,0
10191,2.95,0.8,97.85,0.62,1.25,17.45,29.26,16.22,10.2,5382,52.81,40321,81.77,1.63,41.56,27.88,4.72,14.58,46700,15806,15915,7575,0,5067,10430,400,4.1,6.53,21.5,18.84,5.55,67.85,17.95,27.12,14.2,27.96,6.8,32.14,9.36,8.13,3.26,82.96,81.18,94.84,80.72,60.85,76.91,79,1.08,304,30.59,35.2,39.8,42.43,0.91,1.05,1.19,1.27,94.24,0.63,4.82,3.7,2.82,3.04,2.16,80.67,1.39,35.49,3,171,95.29,74.73,3.51,64.91,1957,0.0,0.0,102700,123500,150900,48200,313,467,572,259,527,23.9,21.7,12.5,0,0,2.98,82.88,64.02,90.75,93.73,24.2,421.0,1.1,0,0,1
12959,3.01,0.25,66.05,32.33,5.05,16.08,22.09,11.96,13.98,12959,100.0,100077,75.58,1.19,73.93,27.52,1.1,14.37,105123,49537,59612,60000,0,29791,28906,497,3.88,1.51,4.77,61.5,2.81,56.28,9.55,35.84,2.28,60.55,2.35,26.64,6.27,4.4,3.23,89.99,86.37,96.99,81.88,56.31,57.48,60,0.6,3708,15.75,24.7,41.21,51.29,4.51,7.07,11.79,14.68,65.55,5.21,6.17,5.25,2.98,2.96,3.24,93.36,4.49,13.71,3,162,96.37,93.91,0.0,45.06,1941,0.19,0.0,500001,500001,500001,0,1001,1001,1001,0,1001,14.9,22.0,11.7,0,0,28.61,40.64,64.62,85.78,88.98,3.9,3322.8,0.99,0,0,1
29721,2.34,3.52,95.13,1.03,1.7,10.52,18.8,9.27,22.59,29721,100.0,32704,64.97,0.48,54.7,41.16,4.52,26.5,37695,18875,19228,8871,22920,23131,19684,1977,6.72,4.72,15.77,26.17,4.21,51.11,8.61,27.27,7.13,37.67,8.39,22.21,11.99,10.31,2.75,76.18,74.95,86.68,78.71,62.3,70.28,276,1.18,1797,6.73,7.12,9.74,13.69,0.41,0.43,0.59,0.83,91.96,0.7,2.01,1.41,2.32,2.37,2.13,78.76,1.07,43.28,3,1487,89.52,76.93,0.81,27.37,1975,1.73,0.08,71000,91500,128900,57900,335,449,576,241,544,28.3,21.8,12.7,0,0,6.05,22.65,46.85,70.75,77.44,26.1,1137.7,0.77,0,1,1
15714,2.28,1.4,97.7,0.41,0.62,12.95,26.14,13.03,17.24,0,0.0,17391,64.96,0.18,38.26,35.74,13.59,19.65,24325,10162,10111,8443,9695,30328,4289,3602,23.2,11.04,27.26,11.04,7.39,52.44,17.47,22.78,18.27,18.58,11.89,32.29,16.38,14.39,3.01,63.03,62.92,69.78,71.55,52.63,61.1,365,2.74,279,0.0,5.73,5.73,5.73,0.0,0.1,0.1,0.1,96.24,0.33,3.98,2.35,2.25,2.5,2.04,51.5,1.28,52.78,2,529,92.86,46.43,2.84,54.63,1939,5.56,0.23,28800,39000,51600,22800,183,248,309,126,306,28.4,16.7,12.8,25,0,1.78,89.55,56.9,89.28,96.27,2.8,5624.2,0.73,0,1,1
47358,2.83,0.34,98.58,0.91,0.61,13.62,23.89,11.09,8.8,47358,100.0,42095,84.17,0.3,54.46,22.89,3.08,17.74,46589,16717,16705,23833,13662,18323,10117,1351,2.87,3.22,14.04,22.32,3.86,68.96,28.78,19.46,12.05,30.01,6.86,24.03,9.55,8.25,3.21,85.81,84.67,95.15,82.24,59.52,70.42,134,0.4,1298,5.93,7.94,8.86,9.32,0.16,0.22,0.24,0.26,95.25,0.44,3.93,3.16,2.82,2.89,2.41,87.93,0.71,20.8,3,442,97.43,85.88,1.81,23.3,1969,0.77,0.2,68100,89800,118100,50000,403,470,542,139,558,24.5,19.6,12.3,0,0,2.74,74.38,57.1,81.13,93.6,27.7,1707.4,0.4,1,0,1
30601,2.41,3.25,95.34,0.51,1.44,11.08,22.59,10.15,16.17,30601,100.0,32002,75.99,0.66,50.91,32.82,3.48,20.71,37794,14914,15065,13223,10858,7762,12058,1447,4.78,4.62,15.17,18.13,3.91,63.66,14.43,22.84,12.09,26.24,9.7,21.15,13.09,11.53,2.86,76.36,74.31,85.99,78.44,70.11,77.84,307,1.26,331,5.44,9.37,9.37,9.37,0.06,0.1,0.1,0.1,96.69,0.34,2.46,1.76,2.39,2.51,2.0,79.07,0.8,34.08,3,519,96.07,75.03,0.39,24.08,1962,0.69,0.15,51700,63900,78500,26800,289,352,422,133,427,23.1,17.3,11.4,0,0,1.08,69.21,60.29,88.44,92.55,10.3,2981.4,0.96,0,0,1
14288,2.55,0.8,98.04,0.78,1.31,11.33,25.03,11.4,13.1,11217,78.51,39864,80.07,0.16,52.16,27.07,3.76,19.15,46980,18031,18053,21172,12000,18092,14005,649,4.56,8.73,20.88,18.61,4.71,66.91,28.76,21.64,12.65,26.49,7.93,28.22,9.48,8.73,3.04,82.09,80.96,89.36,83.92,53.82,71.52,139,1.42,512,4.1,5.47,12.7,21.29,0.15,0.2,0.45,0.76,89.72,0.58,2.56,1.89,2.55,2.72,2.13,76.15,0.95,41.47,3,273,95.35,71.48,2.2,43.96,1959,1.0,0.0,138400,166200,196400,58000,346,517,607,261,600,23.8,22.9,12.9,0,0,3.58,77.2,65.56,85.28,95.23,15.1,946.4,1.39,1,1,1
140494,2.45,2.51,95.65,0.9,0.95,18.09,32.89,20.04,13.26,140494,100.0,21577,75.78,1.0,41.15,29.31,7.12,14.09,27705,11878,12029,7382,10264,10753,8104,23223,17.78,8.76,23.03,20.66,5.72,59.02,14.31,26.83,14.72,23.42,11.4,33.32,14.46,13.04,2.89,71.94,69.79,79.76,75.33,62.96,70.52,1511,1.58,2091,21.33,30.56,38.02,45.48,0.32,0.45,0.57,0.68,96.87,0.6,3.08,1.92,2.28,2.37,2.16,57.81,2.11,53.19,2,5119,91.81,55.5,2.09,26.22,1966,6.13,0.31,37700,53900,73100,35400,215,280,349,134,340,26.4,17.3,11.7,327,4,1.49,64.35,42.29,70.61,85.66,70.4,1995.7,0.97,0,1,0
12635,2.82,1.23,97.26,1.31,0.8,13.13,20.61,10.56,13.98,6323,50.04,50275,82.92,0.84,58.97,27.41,3.61,20.24,55731,21748,21802,22606,33591,17217,11317,437,3.5,3.16,12.08,34.36,4.0,65.46,22.82,27.02,8.31,39.93,4.24,23.89,6.62,5.49,3.14,88.2,87.01,92.99,86.13,54.21,71.27,31,0.32,640,3.44,3.44,11.88,14.84,0.17,0.17,0.6,0.75,91.13,0.91,3.5,2.86,2.8,2.89,2.08,91.45,0.45,20.34,3,157,96.61,88.49,0.64,35.03,1962,0.36,0.0,141200,177700,225500,84300,181,364,535,354,463,24.1,20.0,12.3,0,0,5.07,66.02,69.9,88.58,91.39,23.0,548.8,1.33,1,1,1
109199,2.92,21.15,50.46,22.95,10.78,14.35,27.49,13.44,9.96,109199,100.0,36605,79.57,0.56,34.19,22.23,10.85,22.12,41183,14271,16380,12108,11478,12510,10988,9007,8.48,6.8,19.04,19.2,6.55,62.7,13.74,22.94,11.76,23.56,10.68,31.28,14.29,12.51,3.33,72.02,67.59,79.37,73.37,63.04,70.66,2818,3.48,19770,12.34,20.29,31.66,40.52,2.23,3.67,5.73,7.34,75.03,2.48,9.13,6.77,2.85,2.95,2.68,64.16,9.25,47.35,3,2519,93.69,61.88,2.02,26.36,1965,3.05,0.22,105900,140600,186200,80300,383,511,629,246,578,28.0,25.5,12.1,47,9,18.1,46.72,43.03,65.04,86.92,31.3,3488.3,3.7,0,1,0
96466,2.51,0.47,94.22,2.32,1.1,13.75,28.94,13.74,11.22,96466,100.0,26770,77.3,0.52,50.43,26.38,8.46,12.54,33367,12969,13428,11094,5438,3552,5166,12607,13.39,9.08,19.15,16.66,5.42,64.66,22.09,20.71,17.91,21.78,9.48,31.71,11.47,10.54,3.08,73.03,73.56,77.8,75.84,65.65,71.31,2155,2.83,2318,25.11,32.01,38.57,57.51,0.6,0.77,0.93,1.38,94.99,1.35,4.1,2.64,2.45,2.7,2.12,62.36,2.25,51.49,2,1343,96.62,56.56,0.6,30.01,1962,2.71,0.32,44400,55500,70900,26500,253,314,379,126,363,25.1,20.6,13.3,150,1,2.4,81.03,51.17,82.99,92.57,45.4,2124.3,2.18,1,1,0
50689,2.77,5.71,73.24,10.38,20.73,14.06,34.37,17.33,6.67,50689,100.0,38433,87.84,0.69,39.67,14.9,4.75,10.19,42840,18120,20356,11722,18472,14767,10338,3339,6.85,5.44,14.0,25.55,4.48,75.45,20.0,19.66,10.52,30.29,10.36,36.04,17.63,14.0,3.16,73.27,71.3,88.62,71.81,70.43,74.69,939,3.11,10964,19.99,38.64,50.92,62.99,4.32,8.36,11.01,13.62,72.17,7.29,7.56,5.17,2.66,2.64,2.68,40.54,11.3,63.69,2,968,94.98,40.93,1.24,13.84,1970,1.23,0.23,190900,254500,310500,119600,621,701,851,230,746,28.2,24.6,11.4,32,10,21.63,37.32,32.17,69.29,78.7,11.7,4333.9,2.3,0,0,1
