age,two_year_recid,c_charge_degree,sex,priors_count,length_of_stay,race,unrelated_column_one,unrelated_column_two,response
27,1,F,Male,1,2,0,0,1,1
46,0,F,Male,13,141,0,1,1,1
39,1,F,Male,21,0,1,0,0,0
28,0,F,Male,0,0,0,0,0,1
23,1,F,Male,4,-1,0,0,1,1
46,1,F,Male,0,0,0,0,1,1
20,1,F,Male,1,6,1,1,0,1
25,0,F,Female,1,13,1,1,1,1
43,1,F,Male,2,5,0,1,1,1
36,0,M,Female,1,0,0,1,1,1
36,1,F,Female,7,2,1,1,0,1
21,1,F,Male,2,1,1,0,0,0
40,0,F,Male,3,1,0,1,0,1
24,1,M,Male,1,-1,1,0,1,1
23,1,F,Male,0,1,0,0,0,1
35,0,F,Male,0,2,0,1,1,1
34,0,F,Male,1,0,0,0,1,1
37,0,F,Male,4,1,1,0,1,1
24,1,M,Male,2,12,1,1,0,1
31,1,M,Male,2,33,0,0,0,1
52,0,F,Female,8,43,1,0,0,0
65,0,F,Male,3,23,0,1,1,1
42,1,F,Female,0,1,0,0,0,1
59,0,M,Female,0,0,1,0,1,1
23,0,M,Male,0,0,0,1,0,1
43,0,F,Male,1,0,0,0,0,1
30,0,F,Male,0,5,0,0,1,1
25,1,F,Male,3,19,0,0,0,1
23,0,M,Female,0,0,0,1,0,1
26,0,M,Male,3,1,1,0,0,0
55,0,F,Male,2,1,0,0,1,1
23,1,F,Female,2,1,0,0,1,1
59,0,F,Male,0,0,0,0,1,1
23,1,F,Male,1,1,1,0,0,1
36,1,M,Male,2,1,0,1,1,1
69,1,F,Male,1,1,1,0,0,1
33,0,M,Male,0,1,0,0,0,1
20,0,F,Male,0,2,1,1,1,0
44,0,M,Male,11,180,0,1,0,1
23,1,F,Male,0,7,0,1,1,1
56,0,F,Male,16,0,1,0,0,1
28,1,M,Female,1,0,0,1,1,1
36,0,F,Male,0,0,0,1,1,1
52,0,M,Male,0,0,0,0,1,1
26,1,F,Male,4,1,1,0,1,1
31,1,M,Male,8,3,1,0,0,0
36,1,F,Female,5,0,0,1,0,1
56,1,F,Male,5,597,1,1,0,1
58,0,F,Male,2,4,0,0,1,1
22,1,F,Male,1,38,1,1,0,0
30,1,M,Male,8,0,1,1,0,0
44,0,F,Male,1,1,1,1,0,1
24,1,F,Male,0,182,1,0,1,1
46,1,F,Male,9,115,1,0,1,0
35,0,F,Male,2,-1,1,1,0,1
42,0,F,Female,0,1,0,0,0,1
26,1,F,Female,2,33,0,1,1,1
42,0,M,Male,1,-1,0,1,1,1
35,1,F,Male,6,1,0,0,0,1
23,1,F,Male,1,7,1,1,1,1
31,0,M,Male,7,1,1,1,0,1
24,1,F,Male,3,-1,0,1,0,1
33,1,M,Male,16,33,1,0,1,0
29,1,F,Male,29,5,1,1,1,0
37,0,F,Male,1,1,0,1,1,1
24,0,M,Male,0,1,0,1,0,1
24,1,M,Male,2,0,1,0,1,1
49,1,M,Male,6,0,1,1,0,1
34,0,M,Male,3,0,0,1,0,1
35,0,F,Male,0,1,1,0,0,1
40,1,F,Male,5,55,1,0,0,0
44,0,M,Male,1,1,0,0,1,1
23,1,F,Male,4,192,1,1,0,0
29,1,F,Male,4,3,0,1,0,1
25,1,M,Female,1,0,1,1,1,1
23,0,F,Male,1,0,1,0,1,1
30,0,M,Female,0,0,0,1,1,1
30,1,M,Male,0,0,1,0,0,1
21,1,F,Male,2,0,0,1,0,0
24,0,M,Female,1,0,0,0,0,1
37,1,F,Male,16,2,1,1,1,0
24,0,F,Male,0,1,0,0,1,1
27,1,M,Female,0,3,1,1,0,1
23,0,F,Female,0,11,0,0,1,1
44,1,F,Female,4,5,0,1,1,1
23,1,M,Male,2,2,1,1,0,0
24,0,F,Male,6,7,0,0,1,0
37,0,M,Male,0,0,0,1,0,1
43,1,F,Male,0,1,0,1,0,1
28,1,F,Male,9,53,1,0,0,1
20,1,F,Male,0,1,0,0,0,1
21,1,F,Male,6,0,1,0,1,0
32,0,F,Female,0,0,1,0,0,1
47,0,M,Male,14,31,1,0,1,1
20,1,F,Female,0,2,1,1,0,1
36,1,F,Male,10,32,1,1,0,0
25,0,F,Male,0,-1,0,1,1,1
49,0,F,Male,1,1,0,1,1,1
39,0,F,Male,2,8,0,0,0,1
36,1,M,Male,11,2,0,1,0,1
30,0,M,Male,5,0,1,0,0,1
33,1,F,Male,4,1,1,0,1,1
25,1,F,Male,4,5,0,0,1,1
33,0,F,Male,1,3,0,0,0,1
21,0,F,Male,0,1,1,0,0,1
20,0,F,Male,1,2,1,1,0,1
25,0,F,Female,0,0,0,0,1,1
27,0,F,Male,2,1,1,0,1,1
28,0,M,Male,2,1,0,1,0,1
29,1,F,Male,6,35,1,0,0,0
37,0,M,Male,18,1,1,0,0,0
45,0,M,Female,0,1,0,1,0,1
22,1,F,Male,1,1,0,1,0,1
57,0,F,Male,3,1,1,0,1,1
34,1,F,Male,9,17,1,0,0,0
37,1,F,Male,23,1,1,0,0,0
22,1,F,Male,3,7,1,0,1,1
34,0,F,Male,1,1,1,0,0,1
33,1,F,Male,14,0,1,0,0,0
30,1,F,Male,2,1,1,0,0,1
27,0,F,Male,1,0,0,1,0,1
22,0,F,Male,0,1,1,1,1,1
25,1,F,Male,14,83,1,1,1,0
25,1,M,Male,2,11,0,1,1,1
28,1,F,Male,5,3,1,1,0,1
22,0,M,Female,2,0,0,0,0,1
26,0,F,Male,7,1,1,0,0,1
30,0,M,Male,4,54,1,0,1,0
28,0,M,Male,11,0,0,0,1,1
21,0,F,Male,1,1,1,1,0,0
21,1,M,Female,0,2,0,0,0,1
44,1,F,Male,2,1,0,1,0,1
50,1,F,Male,0,0,0,0,1,1
28,1,F,Male,11,1,1,0,0,0
25,0,F,Male,0,1,0,1,1,1
56,0,F,Male,24,6,1,1,1,0
22,0,F,Male,0,0,1,1,0,1
33,1,M,Male,3,1,1,1,1,1
29,1,F,Male,3,1,1,1,0,1
25,0,M,Female,0,0,1,1,0,1
37,0,F,Male,0,19,0,1,1,1
35,1,M,Male,1,79,1,0,0,0
25,0,F,Male,2,2,0,1,0,1
56,0,F,Male,0,1,0,1,1,1
21,0,F,Male,2,36,1,1,0,0
20,1,F,Male,1,0,1,1,1,0
31,0,F,Male,0,1,1,0,0,1
28,0,F,Female,4,0,1,1,0,1
49,0,M,Male,4,0,1,0,1,1
34,1,F,Male,10,0,1,0,0,0
25,1,F,Male,1,0,1,0,0,1
42,0,F,Male,3,1,1,0,0,1
43,1,F,Male,7,1,1,1,1,1
23,0,M,Male,3,6,1,1,0,1
30,1,F,Male,0,1,0,0,1,1
37,1,M,Female,23,-1,1,0,1,0
24,0,F,Male,0,1,1,1,0,0
27,1,F,Male,2,0,1,0,0,0
37,0,F,Male,4,1,1,1,0,1
21,0,F,Male,0,0,1,0,1,1
32,0,M,Male,0,0,1,1,0,1
31,0,M,Male,6,1,0,1,1,1
33,0,F,Male,4,7,1,0,0,1
26,1,F,Male,4,2,0,1,0,1
51,0,M,Female,1,1,0,0,1,1
26,1,F,Male,7,0,0,1,0,0
27,1,F,Male,1,14,0,1,0,1
21,1,F,Male,0,-1,0,1,1,1
54,1,F,Male,8,-1,1,0,0,1
29,0,F,Male,5,1,1,1,0,0
38,0,M,Female,2,0,0,1,0,1
25,1,F,Female,2,0,1,0,0,0
42,0,F,Male,1,1,1,0,0,1
29,1,M,Male,7,8,1,0,0,0
23,1,F,Male,1,0,1,0,1,1
36,0,M,Female,0,0,0,0,1,1
37,1,M,Male,2,0,1,0,0,0
60,0,F,Male,4,1,0,1,0,1
39,0,F,Male,4,118,1,0,1,0
52,1,M,Male,0,0,1,1,1,1
43,0,M,Female,0,0,0,1,1,1
21,0,F,Female,0,77,1,0,0,0
25,0,F,Male,3,1,1,1,1,0
24,0,F,Male,0,1,0,0,0,1
54,1,F,Female,0,20,0,0,0,1
20,1,M,Male,0,0,0,1,0,1
33,0,F,Male,8,1,1,0,0,1
51,0,M,Male,1,1,0,0,0,1
30,0,F,Female,4,29,0,0,0,1
24,1,F,Male,0,0,1,0,1,1
23,0,F,Male,2,2,0,1,0,1
32,0,F,Male,0,1,0,1,0,1
25,1,F,Male,2,1,0,0,0,1
44,0,M,Male,16,81,0,0,0,1
25,1,M,Male,1,1,1,0,1,1
42,1,F,Male,2,1,0,0,0,1
24,1,F,Male,3,97,0,0,1,1
23,1,F,Male,1,2,1,0,1,1
24,1,F,Male,0,22,1,0,0,1
22,1,F,Male,1,4,1,0,1,0
30,1,M,Male,18,1,1,0,0,0
29,0,F,Female,3,0,0,1,1,1
42,0,F,Male,1,0,1,1,0,1
30,1,M,Male,2,5,0,0,1,1
21,0,F,Male,1,13,1,0,1,0
43,0,M,Male,4,2,0,0,0,1
32,0,F,Male,1,1,1,0,1,1
58,0,F,Male,3,2,0,1,0,1
51,1,M,Female,0,0,0,1,0,1
21,1,F,Male,1,1,0,1,1,1
28,0,F,Male,0,0,1,0,0,1
37,1,F,Male,1,8,0,1,0,1
23,0,F,Male,4,31,1,0,0,0
52,0,F,Male,2,1,0,1,0,1
25,1,F,Male,4,43,1,1,0,1
58,0,F,Male,1,0,0,0,1,1
26,1,F,Male,6,2,1,0,1,1
22,1,F,Male,7,11,1,1,0,0
30,1,F,Male,14,22,1,1,1,1
27,1,M,Male,5,64,1,0,1,1
52,1,F,Male,7,117,1,1,1,0
48,1,F,Male,10,4,1,0,0,1
55,0,M,Male,0,0,0,1,1,1
50,1,F,Male,3,33,0,0,1,0
28,1,F,Male,2,10,0,1,0,1
22,0,M,Male,1,0,0,1,0,1
54,0,M,Male,0,1,0,1,0,1
51,0,F,Male,1,17,0,1,1,1
34,0,M,Female,0,1,1,1,0,1
22,1,M,Female,0,0,1,1,1,0
35,0,M,Male,1,1,1,0,0,1
27,0,F,Female,1,44,1,0,0,1
24,0,F,Male,0,1,0,1,1,1
50,0,M,Male,0,0,0,1,0,1
35,1,F,Male,0,87,0,0,1,1
23,0,F,Female,0,25,1,1,1,1
66,1,M,Male,0,0,0,1,1,1
30,1,F,Male,2,1,1,1,1,1
32,1,F,Male,3,37,1,0,1,1
26,0,M,Female,2,0,0,0,0,1
27,0,F,Male,1,1,0,1,1,1
31,1,F,Female,2,176,1,1,1,1
39,0,F,Male,0,54,0,0,1,1
67,1,M,Male,4,27,1,1,0,1
38,1,F,Male,7,1,0,0,1,1
46,0,M,Male,12,2,1,1,1,1
43,1,M,Male,6,0,0,1,0,1
51,1,M,Female,0,7,0,1,1,1
51,1,M,Male,7,3,1,1,1,1
56,0,F,Male,1,1,0,0,0,1
21,1,F,Male,0,-1,0,1,1,1
39,0,M,Male,2,-1,0,0,0,1
24,0,F,Male,0,-1,1,0,0,1
26,1,F,Male,2,0,0,1,0,0
21,0,M,Female,0,0,1,1,0,1
68,0,F,Male,2,0,1,0,0,1
43,0,F,Male,20,1,1,0,1,0
26,1,F,Male,5,1,0,0,0,1
26,1,F,Male,2,4,1,0,0,1
36,0,M,Male,9,1,1,0,1,0
21,1,F,Male,2,5,0,0,1,0
54,0,F,Male,10,30,1,1,1,1
28,1,F,Male,2,1,1,0,1,1
46,0,F,Male,0,0,1,1,1,1
33,1,F,Female,2,9,0,0,1,1
23,0,M,Female,0,0,1,0,1,1
35,1,F,Female,0,1,1,0,0,1
26,0,F,Male,0,2,0,1,0,1
25,0,F,Male,1,0,0,1,1,1
37,0,F,Female,1,8,1,0,0,1
44,0,M,Male,0,2,0,1,0,1
52,0,M,Male,0,0,0,0,0,1
34,1,F,Male,13,1,1,0,0,1
31,0,M,Male,0,0,0,1,0,1
53,1,M,Male,0,1,1,1,0,1
44,1,F,Female,3,11,0,1,0,1
20,1,M,Male,1,1,1,1,1,1
26,1,M,Male,6,1,1,1,0,0
59,0,M,Male,0,1,0,0,0,1
41,0,F,Male,8,1,1,1,1,1
27,0,F,Male,2,3,1,1,1,1
25,1,F,Male,5,49,1,0,0,1
29,1,F,Male,5,0,1,0,0,0
31,0,F,Male,2,16,0,1,0,1
56,0,F,Male,0,5,1,1,0,1
25,1,M,Male,5,3,1,1,0,0
50,0,F,Male,0,2,1,0,1,1
36,0,F,Male,0,280,1,0,0,1
31,0,M,Male,0,1,0,0,1,1
22,1,F,Male,0,149,1,1,1,1
32,1,F,Male,17,0,1,1,1,0
30,0,M,Male,1,4,1,1,0,1
28,1,F,Male,12,76,1,1,1,0
21,1,M,Female,4,0,1,0,0,0
63,0,M,Male,3,220,1,0,1,0
50,0,F,Male,0,2,0,0,0,1
29,0,M,Female,0,-1,0,0,1,1
29,1,M,Male,0,3,0,1,0,1
21,0,F,Male,0,1,1,0,0,0
24,0,M,Female,0,0,1,0,1,1
29,0,M,Male,4,0,1,0,0,1
67,0,F,Male,8,1,1,1,1,1
40,1,M,Male,23,31,1,0,0,1
29,1,M,Female,0,1,0,0,0,1
26,0,M,Male,0,1,0,1,1,1
41,1,F,Male,4,0,0,0,1,1
23,1,F,Male,6,84,0,0,0,0
25,0,F,Female,5,0,1,1,1,1
35,1,F,Male,7,0,1,1,0,1
35,0,M,Female,1,28,0,0,0,1
49,0,F,Male,2,1,1,0,1,1
30,1,F,Male,8,64,1,0,1,0
26,0,M,Male,1,1,0,0,1,1
29,1,F,Female,11,23,1,0,0,0
40,0,M,Male,2,1,0,1,0,1
56,0,F,Male,1,2,1,1,0,1
41,0,F,Male,1,2,1,1,0,1
31,1,F,Male,1,1,0,1,0,1
24,0,F,Male,0,2,1,1,0,1
22,0,M,Male,1,1,1,0,0,1
30,1,F,Male,8,54,1,0,0,1
61,1,F,Male,2,3,0,0,1,1
24,1,M,Male,1,0,1,0,0,1
24,0,M,Male,2,15,0,0,0,1
57,0,M,Male,0,109,0,1,1,1
79,0,M,Male,1,1,0,1,1,1
24,1,M,Male,0,1,1,0,0,1
21,1,F,Male,2,7,1,0,0,1
41,0,M,Male,5,0,1,1,0,1
27,1,F,Male,17,1,1,1,1,1
50,0,F,Male,1,9,0,1,1,1
26,1,F,Male,3,0,1,0,1,1
31,0,M,Male,5,0,1,1,1,0
51,0,F,Male,1,162,1,1,0,1
29,0,F,Male,0,0,0,1,1,1
45,0,M,Male,4,3,1,0,0,1
35,1,F,Male,4,31,0,0,0,1
27,0,M,Male,0,0,0,1,0,1
21,1,M,Male,0,1,1,1,1,0
33,0,F,Male,0,0,0,1,1,1
30,1,F,Male,3,2,1,1,0,1
30,0,M,Male,0,23,0,0,0,1
20,1,F,Male,2,52,0,1,0,0
53,0,F,Male,1,0,0,1,1,1
39,0,F,Male,1,4,1,1,0,1
62,0,F,Male,2,3,0,0,0,1
43,1,F,Male,4,25,1,0,0,1
24,0,F,Female,0,1,0,0,0,1
34,0,F,Male,4,0,0,0,0,1
21,0,M,Male,1,0,0,1,1,1
48,0,F,Male,1,21,0,0,1,1
25,0,M,Male,0,0,1,0,0,1
49,1,M,Male,0,4,1,1,1,1
39,1,F,Male,0,2,0,0,1,1
26,1,F,Male,7,18,0,0,1,1
42,0,F,Female,1,-1,1,0,1,1
21,0,F,Male,0,13,1,1,1,1
32,0,F,Male,0,24,1,1,1,1
28,1,M,Male,6,5,1,0,1,1
53,1,F,Female,10,4,1,0,0,1
26,0,M,Male,1,1,0,0,1,1
27,1,F,Male,0,0,1,1,1,1
40,1,F,Male,0,8,0,0,0,1
21,0,F,Male,0,0,0,1,0,0
36,1,F,Female,3,1,0,0,1,1
22,1,M,Male,2,13,0,0,1,1
26,1,F,Male,10,1,1,0,0,0
27,1,F,Male,9,799,1,1,1,0
26,1,M,Male,4,293,0,0,1,1
39,0,F,Male,0,1,0,1,0,1
35,0,F,Male,2,1,0,1,1,1
42,1,M,Male,1,17,1,1,0,1
20,1,F,Male,0,3,0,0,1,1
64,1,M,Male,8,0,1,0,0,1
38,0,F,Male,2,1,0,1,0,1
21,1,F,Male,0,0,0,0,1,1
20,1,M,Male,1,0,1,1,1,0
33,1,F,Male,7,0,1,0,0,1
61,0,F,Male,12,241,1,0,1,1
37,0,M,Male,2,1,0,0,1,1
25,0,F,Female,1,4,1,0,0,1
22,0,M,Male,1,8,0,0,1,1
32,1,F,Male,3,2,1,1,1,1
30,0,F,Male,3,65,0,0,0,1
24,1,F,Male,17,130,1,1,0,0
33,0,M,Male,0,0,1,1,0,1
37,0,M,Male,4,0,0,0,0,1
51,0,F,Male,0,-1,0,0,0,1
42,0,M,Female,0,0,0,0,1,1
36,0,F,Male,1,40,0,1,1,1
38,0,F,Male,0,158,0,1,1,1
52,0,M,Male,1,9,1,1,1,1
27,1,F,Male,13,2,1,0,0,1
57,0,F,Male,0,27,0,1,0,1
37,1,M,Male,1,1,0,1,1,1
42,1,F,Female,17,8,1,0,0,0
51,1,M,Male,6,18,0,0,0,1
32,0,M,Female,1,10,0,1,0,1
70,1,F,Male,11,12,0,1,0,1
30,1,F,Male,1,1,0,0,1,1
28,1,F,Male,1,0,1,1,1,1
20,0,F,Male,0,1,1,1,1,1
58,1,M,Male,12,3,1,0,0,1
36,0,M,Male,6,0,1,0,1,1
56,1,M,Male,0,-1,0,0,0,1
45,0,F,Male,7,1,1,0,1,1
38,0,M,Male,0,0,0,1,0,1
25,1,F,Male,0,20,0,1,1,1
26,1,F,Male,4,0,1,1,1,0
44,0,F,Male,1,1,0,1,0,1
50,0,M,Male,2,0,0,1,0,1
20,1,F,Male,2,21,0,0,0,0
23,1,M,Male,0,0,1,0,0,0
48,0,F,Male,0,2,0,0,0,1
32,1,F,Male,15,7,1,1,0,0
23,0,F,Male,0,1,0,0,0,1
24,1,F,Male,0,0,0,0,1,1
28,0,M,Female,3,45,0,0,1,1
31,0,F,Female,2,1,1,0,1,1
24,1,F,Male,3,7,0,0,0,1
27,0,F,Male,0,-1,1,1,1,1
33,0,M,Male,0,10,0,0,1,1
53,0,F,Male,2,40,0,1,0,1
28,1,M,Male,3,0,0,1,1,1
31,1,F,Female,0,1,1,1,0,1
29,0,M,Male,11,0,1,1,0,0
54,0,M,Female,0,29,0,0,1,1
54,0,F,Male,11,1,1,0,0,0
53,0,M,Male,1,0,1,1,1,1
20,1,F,Male,1,1,1,1,1,1
27,1,M,Female,0,6,1,0,1,0
21,1,F,Male,0,0,0,1,0,0
25,0,F,Male,0,34,1,1,0,1
35,0,M,Male,0,1,1,1,1,1
43,1,F,Male,2,7,0,0,0,1
30,0,M,Female,1,0,0,0,1,1
36,0,M,Male,0,0,0,1,0,1
32,0,F,Female,1,0,0,1,1,1
39,0,F,Male,3,13,0,1,1,1
28,1,M,Male,0,0,0,1,0,1
57,1,F,Male,8,99,1,1,1,1
25,0,M,Female,0,0,0,1,1,1
30,0,F,Male,1,0,1,0,0,1
38,0,F,Male,3,1,1,1,0,1
25,1,M,Female,1,1,1,0,1,0
24,0,F,Female,0,1,1,1,0,1
24,1,F,Male,1,0,1,0,0,1
33,1,F,Male,18,1,1,1,1,0
20,1,F,Male,0,0,1,1,1,1
27,1,F,Male,8,25,1,1,1,1
22,1,M,Male,1,1,0,1,1,1
41,0,F,Male,2,0,1,1,0,1
22,0,M,Male,0,2,1,1,1,0
40,1,F,Female,4,5,0,0,0,1
58,0,F,Male,2,5,0,0,0,1
33,1,F,Male,18,0,1,1,1,0
24,0,M,Male,0,0,1,0,0,1
53,0,M,Male,0,4,0,0,0,1
36,1,F,Male,9,0,1,1,0,1
26,1,M,Male,9,1,0,1,1,1
47,0,F,Male,5,0,1,0,0,1
40,0,F,Male,1,0,0,0,0,1
25,1,F,Male,7,20,1,1,1,0
24,1,F,Male,6,45,1,0,1,0
19,1,F,Male,3,30,1,0,0,1
24,1,F,Male,3,17,0,0,0,0
45,0,F,Male,0,1,0,1,0,1
28,1,F,Male,8,2,1,1,0,0
43,0,M,Male,0,0,0,0,0,1
40,0,F,Male,0,64,0,1,0,1
71,0,M,Male,1,3,0,0,1,1
25,1,F,Male,9,0,0,1,0,0
50,1,M,Male,24,32,1,0,1,0
47,0,M,Male,0,-1,0,0,1,1
22,1,F,Male,3,1,0,0,1,0
31,0,F,Male,0,0,0,1,1,1
37,0,M,Male,3,0,1,1,0,1
27,1,F,Male,15,48,1,0,0,0
22,0,F,Male,0,1,1,0,1,1
45,0,F,Male,0,0,0,1,0,1
32,1,M,Female,0,1,1,0,1,1
31,0,F,Male,6,41,1,0,1,1
42,0,F,Male,8,1,1,0,1,1
35,1,F,Male,23,1,1,1,0,0
32,0,F,Male,1,2,0,1,0,1
24,0,F,Male,1,0,1,0,0,1
31,0,F,Male,0,2,0,0,1,1
30,0,F,Male,2,6,0,0,1,1
35,1,F,Male,0,1,0,1,0,1
34,0,F,Male,0,116,0,1,0,1
32,0,F,Male,8,4,1,0,1,1
30,1,F,Male,7,0,0,0,1,0
57,1,F,Male,20,33,1,1,1,1
36,0,M,Male,0,0,0,0,1,1
52,1,M,Male,0,1,1,1,1,1
26,1,M,Male,1,0,0,1,1,1
47,0,F,Male,2,0,0,1,0,1
24,0,F,Male,0,6,0,0,0,1
31,1,F,Male,4,0,1,0,1,1
43,0,F,Male,2,5,1,0,1,1
32,1,F,Male,4,1,1,0,0,1
26,1,F,Male,9,2,1,0,0,0
48,1,F,Male,3,1,1,1,0,1
41,1,F,Male,2,161,0,0,1,0
35,1,F,Female,6,1,1,0,0,1
38,0,F,Male,2,19,0,1,0,1
30,0,F,Male,0,1,1,0,1,1
36,1,F,Male,13,2,1,1,0,0
40,0,M,Male,0,0,0,1,1,1
22,1,M,Male,0,0,1,1,1,1
26,1,F,Female,1,2,1,0,0,1
25,0,M,Male,0,1,1,1,1,1
33,0,M,Male,2,4,0,0,1,1
22,1,M,Male,2,24,0,0,0,1
49,0,F,Female,0,1,1,0,0,1
32,1,F,Male,2,1,1,0,0,1
26,0,M,Male,2,28,1,1,1,1
55,1,F,Male,33,242,0,0,0,0
39,0,F,Female,2,6,0,0,1,1
30,1,F,Male,13,474,1,0,1,0
31,0,F,Male,0,77,0,0,1,1
57,0,F,Male,19,1,1,0,0,1
45,0,M,Male,1,-1,0,1,1,1
25,0,F,Male,1,1,0,0,0,1
19,1,F,Male,1,32,0,1,1,0
29,0,F,Male,0,2,1,0,1,0
41,0,M,Male,2,1,0,0,1,1
59,0,M,Female,0,0,0,1,1,1
25,1,F,Male,2,0,1,1,0,1
53,1,M,Male,6,8,1,1,0,1
20,0,F,Male,0,0,0,1,0,1
32,1,F,Male,3,-1,0,1,0,1
29,0,F,Male,2,27,1,0,1,1
26,1,F,Male,8,1,1,1,1,0
21,0,F,Male,1,1,1,0,1,1
26,0,F,Female,3,27,1,1,0,1
30,0,M,Male,4,5,1,1,0,0
20,0,F,Male,0,30,1,1,1,0
21,1,F,Male,3,-1,1,0,1,1
30,0,M,Male,0,0,0,1,1,1
23,0,F,Male,0,0,0,1,0,1
19,1,F,Male,2,1,0,1,1,0
48,0,F,Male,0,1,0,0,0,1
37,0,F,Male,11,1,1,0,1,1
23,0,F,Male,0,1,0,0,1,1
49,1,M,Female,2,0,0,1,1,1
28,1,M,Male,1,1,1,1,0,1
25,0,F,Female,6,24,0,0,0,1
21,0,F,Male,0,-1,0,1,1,1
30,1,F,Female,15,-1,1,1,1,0
46,0,M,Male,0,0,1,1,0,1
68,0,M,Male,0,3,0,1,0,1
32,0,F,Male,11,141,0,1,1,0
27,0,M,Male,0,1,1,0,1,1
26,0,F,Female,1,2,1,0,0,1
20,0,M,Male,0,-1,0,1,1,1
41,0,M,Male,7,1,1,1,1,1
28,0,F,Male,10,0,1,1,1,1
31,0,F,Female,14,1,1,0,0,0
21,1,F,Male,3,0,0,1,1,1
54,0,M,Male,0,1,1,0,1,1
39,1,F,Male,13,1,1,0,1,0
52,1,M,Male,1,70,1,0,0,1
52,0,M,Male,4,0,0,1,1,1
20,0,F,Male,0,0,1,1,0,1
35,0,F,Male,3,1,0,0,0,1
45,0,F,Male,11,0,1,1,0,1
37,1,F,Male,3,1,1,0,0,1
36,0,F,Male,9,57,1,0,1,1
36,1,F,Female,6,0,0,1,0,1
52,1,M,Female,0,0,0,0,1,1
24,0,F,Female,0,0,1,0,1,1
20,1,F,Male,2,0,1,1,1,0
33,0,M,Male,6,0,1,0,0,1
23,1,F,Male,0,0,0,1,1,1
22,0,F,Male,1,8,0,0,1,1
31,0,F,Male,15,135,1,0,0,1
28,1,M,Male,0,0,1,0,0,1
35,0,F,Male,0,2,1,1,0,1
25,0,F,Male,9,12,1,1,1,1
57,0,M,Female,0,77,1,1,1,1
35,1,M,Female,0,2,1,1,1,1
23,0,F,Male,0,2,1,0,0,1
40,1,M,Male,8,0,1,0,1,1
33,1,M,Male,6,1,1,0,1,1
27,1,F,Male,9,0,1,1,0,1
21,1,F,Male,0,1,1,1,1,0
21,1,M,Male,0,0,1,0,0,0
21,1,F,Male,0,0,0,0,0,1
44,0,M,Male,0,0,1,1,1,1
25,1,M,Male,7,3,0,0,0,1
37,0,F,Male,9,2,0,1,1,1
31,0,M,Male,1,-1,0,1,1,1
24,1,F,Male,2,10,0,1,0,1
26,0,F,Male,5,0,1,1,1,1
34,0,F,Male,1,0,1,1,0,1
32,0,F,Female,5,-1,1,0,0,1
30,1,F,Male,2,0,1,0,1,0
22,0,F,Female,0,5,1,1,0,1
27,0,F,Male,2,131,1,1,1,1
39,0,F,Male,1,14,0,1,1,1
21,0,M,Male,0,1,0,1,1,1
38,0,F,Male,17,180,0,0,0,0
22,0,F,Male,2,13,1,0,0,1
