age,two_year_recid,c_charge_degree,race,sex,priors_count,length_of_stay,response
53,1,F,0,Male,9,130,0
31,1,F,1,Male,9,0,0
31,1,F,0,Male,4,5,1
53,0,M,0,Female,0,0,1
20,1,F,1,Male,0,0,0
20,1,M,0,Male,3,1,1
38,1,M,0,Male,5,0,1
23,0,F,1,Male,0,1,1
36,1,F,1,Male,14,2,0
27,0,M,1,Male,3,37,1
36,0,F,0,Male,0,0,1
27,0,M,1,Male,1,16,1
28,0,F,1,Male,1,0,1
41,0,F,0,Male,0,0,1
29,0,F,1,Male,16,17,0
23,0,M,1,Male,0,3,0
43,0,F,1,Male,0,41,1
36,0,F,0,Male,1,95,1
45,0,F,1,Male,1,2,1
33,0,M,0,Male,0,1,1
36,1,M,0,Male,9,1,1
50,1,F,0,Male,0,35,1
21,1,M,0,Female,0,1,1
31,0,F,1,Female,2,1,1
30,0,F,1,Male,1,83,1
26,1,M,1,Male,13,7,0
30,0,F,0,Male,4,3,1
44,1,F,0,Female,0,0,1
64,0,M,0,Male,1,0,1
22,0,M,1,Male,0,53,0
35,0,F,0,Male,1,1,1
30,0,F,1,Female,4,1,1
46,1,M,0,Male,1,0,1
56,1,M,1,Male,3,1,1
27,1,M,1,Female,1,16,1
62,0,M,0,Male,0,1,1
37,1,M,0,Male,1,1,1
27,0,M,1,Male,1,2,1
29,1,F,0,Female,1,1,1
31,1,F,1,Male,6,1,0
25,0,M,0,Female,0,0,1
57,1,F,0,Female,1,1,1
19,1,F,1,Male,3,0,0
54,1,F,1,Male,28,5,0
21,0,F,1,Male,0,1,1
22,0,M,0,Female,1,0,1
28,0,M,1,Male,3,0,1
24,0,M,0,Female,0,0,0
26,0,F,0,Male,2,-1,1
56,1,F,0,Male,7,194,1
49,1,F,0,Male,3,34,0
20,1,M,1,Male,0,1,1
36,0,M,0,Male,0,0,1
37,0,F,1,Female,1,8,1
35,1,M,1,Male,1,79,0
25,1,F,0,Male,13,5,1
23,0,F,1,Female,0,1,1
21,1,F,1,Male,2,140,0
27,1,F,0,Male,0,1,1
30,0,F,0,Male,0,0,1
31,0,F,1,Male,1,0,0
22,0,F,0,Male,0,1,1
31,1,F,0,Male,3,1,1
20,0,F,1,Male,0,0,1
59,1,M,0,Male,2,0,1
34,1,F,0,Male,13,18,0
39,1,F,0,Female,10,0,1
22,1,F,1,Male,12,35,0
55,0,F,0,Male,7,0,0
54,0,F,0,Male,0,27,1
61,0,M,0,Female,0,0,1
24,1,M,0,Male,9,10,0
49,0,F,1,Male,2,1,1
22,0,F,1,Male,0,0,1
30,0,M,0,Female,0,0,1
23,0,M,1,Male,0,12,1
30,0,F,0,Male,1,0,1
24,0,F,1,Male,1,0,1
30,1,F,1,Male,7,602,0
43,1,F,0,Female,0,1,1
24,0,F,0,Male,2,0,1
25,1,F,1,Male,2,49,1
46,1,F,1,Male,2,9,1
21,1,F,0,Male,0,0,0
34,0,F,1,Male,3,1,1
31,0,F,0,Male,0,81,1
22,1,F,1,Male,1,0,1
29,1,F,1,Male,6,35,0
37,0,M,1,Male,18,1,0
21,0,M,0,Male,1,0,1
56,0,F,1,Female,1,1,1
40,0,F,0,Female,3,1,1
44,0,F,1,Male,0,2,1
30,0,M,1,Male,0,0,1
21,0,F,1,Male,0,1,0
45,1,F,0,Female,15,1,0
30,1,F,1,Male,8,64,0
25,1,M,0,Male,0,21,1
23,1,F,0,Male,11,3,0
34,0,M,1,Male,3,0,1
42,1,F,0,Male,2,1,1
59,1,M,1,Male,15,14,1
22,1,F,1,Male,0,0,1
67,0,F,0,Male,0,0,1
21,1,F,1,Male,3,0,1
25,1,F,1,Male,0,90,1
56,0,F,0,Male,0,1,1
58,0,M,0,Male,5,2,1
21,0,F,1,Male,1,7,1
31,1,F,0,Male,1,39,1
30,0,M,1,Female,2,0,1
36,0,F,0,Female,3,25,1
54,0,F,0,Male,0,2,1
49,1,F,1,Male,10,43,1
36,0,M,1,Male,1,1,0
36,0,M,0,Male,2,0,1
59,1,F,0,Male,17,23,1
24,0,F,1,Male,0,4,1
43,0,M,0,Female,0,0,1
42,0,F,0,Male,1,292,1
33,0,M,0,Female,1,0,1
45,0,F,1,Male,16,1,1
29,0,F,1,Male,2,1,1
21,0,F,0,Female,0,2,1
31,0,M,1,Male,0,0,1
34,1,F,1,Male,8,4,1
29,0,F,0,Male,2,3,1
30,1,F,1,Male,0,1,1
22,1,F,0,Male,6,0,0
35,1,F,0,Male,3,9,1
48,0,F,1,Male,1,0,1
32,0,F,0,Male,2,0,1
36,1,F,1,Female,5,0,1
36,0,M,0,Male,2,0,1
26,0,M,1,Male,2,0,1
25,0,F,1,Male,2,0,0
25,0,F,1,Male,1,-1,1
30,1,M,0,Male,4,0,0
44,1,M,1,Male,19,17,0
52,1,M,1,Male,0,0,1
24,1,F,0,Male,3,6,0
44,0,F,0,Male,1,1,0
31,1,M,1,Male,3,19,0
51,0,F,0,Male,2,34,1
42,1,F,0,Male,1,0,1
33,1,F,1,Male,2,0,0
42,1,F,1,Male,7,1,0
36,0,F,0,Male,0,5,1
35,1,M,1,Male,17,2,1
25,0,M,0,Male,0,0,1
30,1,M,0,Female,2,1,1
42,0,M,0,Male,1,-1,1
30,0,M,1,Male,4,54,0
22,0,F,0,Male,0,1,1
21,0,F,1,Male,0,1,1
43,1,F,1,Male,4,25,1
38,0,F,0,Male,12,0,1
46,0,F,0,Male,4,2,1
22,1,M,1,Male,0,1,0
59,0,M,0,Male,3,2,1
44,0,F,1,Male,9,25,0
29,0,M,0,Female,0,0,1
29,1,M,1,Male,1,1,1
22,0,F,1,Male,3,0,1
23,0,M,1,Female,0,0,1
25,0,F,1,Male,3,1,1
40,0,F,0,Male,0,19,1
46,0,M,0,Male,0,0,1
35,1,F,1,Female,7,2,1
48,0,M,0,Male,2,4,0
30,0,M,0,Male,0,56,1
40,0,F,0,Male,0,0,1
21,0,F,0,Male,1,1,0
26,1,F,1,Male,8,14,0
46,0,F,0,Male,2,0,1
22,1,M,0,Male,0,9,1
20,0,F,1,Female,0,-1,0
28,0,M,0,Male,0,1,1
25,1,M,1,Male,3,2,1
37,1,F,0,Male,0,0,1
28,1,M,0,Male,4,1,1
23,1,M,1,Male,2,2,0
43,0,F,1,Male,23,102,1
38,0,F,0,Female,0,0,1
30,1,F,0,Male,1,2,1
38,0,M,1,Male,1,3,1
28,0,F,1,Male,6,0,1
21,1,F,0,Male,1,1,1
31,1,F,0,Male,0,-1,0
55,1,M,1,Male,9,3,1
20,0,F,1,Male,0,1,1
44,0,F,1,Male,7,1,1
54,0,M,0,Male,0,-1,1
24,0,F,0,Male,0,1,1
33,0,F,1,Male,0,45,1
40,1,F,1,Male,0,4,0
43,0,F,0,Male,3,0,1
45,0,M,0,Male,1,1,1
35,0,M,0,Male,5,0,1
27,0,F,1,Male,10,7,0
22,1,F,0,Male,1,1,1
34,1,F,0,Female,15,3,0
23,1,F,1,Male,2,1,1
22,1,F,1,Male,2,1,1
26,0,M,1,Female,0,-1,1
24,1,F,1,Male,0,1,1
35,0,F,1,Male,9,1,1
23,0,M,0,Male,0,1,1
26,0,F,0,Male,0,0,1
47,0,F,1,Male,3,0,1
30,0,M,1,Male,1,0,1
34,0,M,0,Male,0,1,1
25,0,F,0,Male,7,0,0
30,0,M,0,Male,7,37,1
28,0,M,1,Male,2,6,1
20,1,F,0,Male,0,1,1
41,0,F,1,Male,0,177,1
51,1,M,1,Male,8,0,1
23,0,M,1,Male,2,5,1
20,1,F,0,Male,0,1,1
29,1,M,1,Male,8,0,0
39,0,M,1,Male,1,4,1
71,0,M,0,Male,1,3,1
28,0,M,1,Female,2,1,1
57,1,M,1,Male,16,12,1
31,1,F,0,Female,9,26,1
42,0,F,0,Male,6,-1,1
28,1,M,1,Male,5,1,1
26,1,F,0,Male,2,199,1
26,1,F,1,Male,2,0,1
35,1,F,0,Male,1,49,1
43,0,M,0,Male,0,0,1
29,0,F,0,Male,0,0,1
23,0,F,0,Male,0,5,1
21,0,M,0,Male,0,0,1
33,0,M,0,Male,1,0,1
49,0,F,0,Female,2,0,1
33,1,F,1,Male,11,44,1
45,0,M,1,Female,9,75,1
28,1,F,1,Male,2,1,1
23,1,M,1,Male,0,0,1
23,0,F,0,Male,0,1,1
34,0,M,1,Female,1,15,1
27,1,M,1,Male,27,0,0
49,0,M,1,Male,4,35,1
37,0,F,1,Male,2,169,0
39,0,F,1,Male,8,40,1
58,0,M,0,Female,2,1,1
52,0,F,1,Male,1,0,1
61,0,M,0,Male,0,0,1
30,1,F,1,Male,11,2,0
24,0,F,0,Male,0,15,1
42,1,F,1,Male,1,1,1
25,0,F,1,Male,1,0,1
23,0,F,1,Female,1,1,1
35,1,F,0,Male,2,2,1
61,0,M,0,Male,0,6,1
30,1,F,0,Female,0,2,1
30,1,F,1,Male,17,4,0
29,1,F,1,Male,8,6,0
29,1,F,0,Male,3,1,1
39,0,M,0,Male,0,1,1
22,1,F,1,Male,3,8,1
32,0,F,0,Female,0,0,1
35,0,M,0,Male,0,0,1
45,0,F,0,Male,0,1,1
23,0,M,0,Female,0,1,0
21,1,F,1,Male,2,28,1
28,0,M,1,Female,0,0,1
32,0,F,0,Male,3,0,1
27,1,F,1,Male,7,4,0
28,1,F,1,Male,7,1,1
24,1,M,1,Male,2,33,1
25,0,M,1,Male,0,0,1
35,0,F,1,Male,0,1,0
21,1,F,1,Male,0,3,1
50,1,M,0,Male,9,1,1
36,0,M,0,Male,0,0,1
26,0,F,1,Male,1,-1,0
39,0,M,0,Male,1,0,1
22,1,F,1,Male,1,1,1
35,1,F,1,Male,6,10,0
38,1,M,0,Male,5,2,1
43,0,F,1,Female,2,2,1
33,0,F,0,Male,1,0,1
56,0,M,1,Male,3,14,1
28,1,M,1,Female,10,3,1
49,0,M,0,Male,0,0,1
56,0,M,0,Female,0,0,1
28,0,M,0,Male,2,1,1
42,1,F,0,Male,4,17,1
43,0,F,1,Male,0,3,1
54,0,M,1,Male,9,1,1
31,0,F,1,Male,1,1,1
26,0,F,1,Male,0,0,1
31,1,F,0,Male,5,37,1
31,1,M,0,Male,2,3,1
28,1,F,0,Male,2,10,1
36,1,F,0,Female,7,7,1
62,1,F,1,Male,22,33,0
23,1,M,0,Male,4,2,0
54,0,M,0,Female,1,4,1
25,0,M,1,Male,0,1,1
32,1,M,1,Female,0,0,1
31,1,M,1,Male,7,1,1
53,0,F,0,Male,0,11,1
68,0,M,0,Male,4,11,1
30,1,F,1,Female,9,243,0
52,0,F,0,Male,1,0,1
38,1,F,0,Male,3,1,1
39,1,M,1,Male,1,-1,1
33,0,M,1,Male,2,0,1
49,0,F,0,Male,3,0,1
51,1,F,0,Male,6,0,1
27,0,M,0,Female,0,0,1
34,0,M,1,Male,1,2,1
24,0,F,0,Male,0,2,1
44,0,F,1,Male,0,42,1
47,0,F,1,Male,9,64,1
22,0,F,1,Male,2,0,1
26,1,F,0,Male,5,35,1
25,1,F,0,Male,2,0,1
27,0,F,1,Male,0,1,1
22,0,M,0,Female,0,-1,1
46,0,F,0,Female,2,19,0
23,0,M,1,Male,0,1,0
50,0,F,0,Male,1,0,1
22,0,M,1,Female,0,0,1
44,1,F,0,Male,13,16,0
33,0,F,1,Male,1,0,1
50,0,F,0,Male,0,2,1
26,0,F,0,Male,0,173,1
26,1,F,1,Male,0,1,1
26,1,F,1,Male,2,148,1
25,0,F,1,Male,0,0,1
50,1,M,0,Male,9,28,1
26,0,M,1,Male,2,28,1
57,0,M,0,Male,0,1,1
44,0,M,0,Male,0,0,1
52,0,F,0,Male,0,1,1
53,0,M,1,Male,5,2,1
24,1,F,0,Male,2,2,1
21,1,M,1,Male,0,1,1
28,1,F,1,Female,4,2,1
24,1,F,1,Female,4,2,1
60,1,F,0,Female,9,384,1
23,1,F,1,Female,3,0,1
21,0,F,1,Male,0,13,1
47,0,M,0,Male,0,1,1
34,1,F,1,Male,4,0,1
24,1,F,1,Male,0,22,1
21,1,F,1,Male,0,0,0
53,0,F,1,Male,11,110,1
28,0,F,1,Male,7,1,0
52,1,F,1,Male,7,3,0
22,1,F,1,Male,1,-1,1
27,0,F,1,Male,2,1,1
30,1,F,0,Male,7,0,0
26,0,M,0,Male,0,1,1
31,0,F,1,Male,0,0,0
38,0,M,0,Male,0,0,1
24,1,F,0,Male,5,5,1
25,1,F,1,Male,4,19,0
24,0,F,0,Male,1,10,1
19,1,F,1,Male,3,30,1
22,1,F,0,Male,1,1,1
30,0,F,1,Male,7,1,1
26,1,M,1,Male,4,1,0
21,1,F,0,Male,4,0,0
38,0,M,1,Male,5,5,1
22,1,F,1,Female,0,6,1
63,0,F,0,Male,0,0,1
52,1,M,1,Male,0,4,1
22,1,F,0,Female,3,2,0
34,0,M,0,Male,0,0,1
36,0,F,1,Female,0,12,1
45,1,F,1,Male,13,0,1
24,1,F,1,Male,3,44,0
45,1,F,0,Male,19,1,1
67,0,F,1,Female,0,1,1
59,1,F,1,Male,22,69,1
46,1,F,0,Male,0,0,1
37,1,F,1,Male,13,0,0
51,1,F,0,Male,7,14,1
33,0,M,0,Male,3,0,1
53,0,M,0,Female,0,0,1
28,1,F,1,Male,18,0,0
28,0,M,0,Male,0,13,1
33,1,M,1,Male,16,33,0
28,0,M,0,Female,1,0,1
53,0,F,1,Male,13,91,1
25,1,F,1,Male,2,1,1
33,0,F,0,Male,2,14,1
33,1,F,0,Female,2,43,1
20,0,M,1,Female,0,0,1
25,1,M,1,Male,6,1,1
27,1,M,0,Female,0,0,1
32,1,F,1,Male,11,1,1
35,0,F,0,Male,0,0,1
26,0,M,0,Male,1,1,1
42,0,F,0,Male,5,31,1
30,0,M,1,Male,3,206,1
41,0,F,0,Male,0,3,1
32,1,M,0,Male,0,1,1
40,0,F,0,Male,0,0,1
31,0,M,1,Male,0,3,1
46,1,M,0,Male,0,37,1
25,0,F,1,Male,2,26,1
21,1,F,1,Male,0,1,1
38,0,M,0,Female,2,0,1
45,1,F,1,Male,38,121,0
27,0,F,0,Male,0,2,1
35,0,M,0,Female,0,1,1
23,1,F,1,Male,0,0,1
34,0,F,1,Female,6,0,1
44,0,M,0,Female,0,0,1
36,0,F,0,Male,12,13,1
52,0,F,1,Male,0,1,1
25,1,F,0,Male,0,0,1
37,1,M,0,Male,4,0,1
56,0,F,0,Male,13,6,1
23,0,F,1,Male,0,1,1
35,0,M,1,Male,0,1,1
30,1,F,1,Male,8,1,0
32,0,F,1,Male,3,0,1
37,1,F,1,Male,6,20,1
24,1,F,1,Male,10,0,0
24,0,F,1,Male,1,0,1
23,1,F,1,Female,2,116,0
44,1,F,0,Female,10,5,1
20,0,F,0,Male,0,0,1
53,0,F,1,Female,5,1,1
56,0,F,1,Male,1,0,1
23,1,F,1,Male,5,4,0
27,0,M,0,Male,0,1,1
40,1,F,0,Male,10,4,1
35,0,M,1,Female,0,0,1
21,0,F,0,Male,0,7,0
22,1,M,1,Male,1,0,1
70,0,M,0,Male,0,0,1
19,1,F,1,Male,0,0,1
49,0,F,0,Male,0,1,1
22,1,F,1,Male,0,0,1
67,0,M,0,Male,0,1,1
23,0,F,0,Female,0,11,1
22,0,F,1,Male,2,1,0
33,1,F,1,Male,7,0,1
23,1,F,1,Male,0,5,1
49,0,F,1,Female,0,1,1
28,0,M,1,Male,2,2,1
41,1,M,1,Male,4,-1,1
29,0,F,1,Male,0,2,0
28,0,F,1,Female,5,0,0
52,0,M,1,Male,2,10,1
44,1,M,0,Male,8,4,1
27,1,F,0,Male,0,47,0
31,0,M,0,Male,0,0,1
31,0,F,0,Male,1,1,1
25,1,M,0,Male,5,0,1
22,0,F,1,Male,1,1,1
30,1,F,0,Male,5,2,1
31,1,M,1,Male,13,0,0
31,0,M,1,Female,0,2,1
31,1,F,0,Male,2,0,1
30,0,F,0,Male,6,6,1
40,0,F,0,Female,4,2,1
26,1,F,0,Male,2,0,0
45,0,M,1,Male,20,46,1
48,1,F,1,Male,5,0,1
22,1,F,1,Male,0,0,1
52,0,M,0,Female,0,1,1
45,1,F,1,Male,17,46,1
43,0,M,0,Female,0,29,1
37,0,M,0,Male,1,0,1
22,1,F,0,Male,0,0,1
24,1,M,1,Male,1,1,1
43,1,F,1,Male,0,0,1
50,0,F,0,Male,3,11,1
26,0,F,1,Male,15,42,0
26,1,F,1,Male,3,0,1
58,0,F,0,Male,0,0,1
25,1,M,1,Male,3,80,0
21,0,M,1,Male,1,1,1
30,0,F,1,Female,3,26,1
55,1,F,0,Male,3,36,1
30,0,M,0,Male,0,0,1
22,0,F,0,Male,0,1,1
20,1,M,1,Male,1,0,1
43,0,M,0,Male,0,0,1
33,0,F,1,Female,1,1,1
22,1,M,1,Male,0,0,1
31,1,M,1,Female,1,1,1
60,1,M,0,Male,18,3,1
31,0,F,1,Female,3,61,1
31,1,F,0,Male,0,30,0
22,0,F,0,Female,1,0,1
34,1,F,0,Male,9,1,1
38,0,F,0,Male,0,1,1
28,1,M,1,Male,12,1,1
33,0,F,0,Male,0,53,1
23,0,M,1,Male,1,2,1
47,1,M,0,Male,3,12,1
21,0,F,1,Male,0,5,0
42,0,F,0,Male,0,2,1
27,1,F,1,Male,4,50,1
40,0,F,1,Male,21,29,1
33,1,M,1,Male,12,2,0
22,1,F,1,Male,0,1,1
29,1,F,1,Female,2,10,1
31,0,F,0,Male,0,0,1
34,1,F,1,Male,12,1,1
41,1,F,0,Male,1,1,1
20,1,M,0,Male,0,0,1
29,1,F,1,Male,0,1,1
20,0,F,0,Male,0,0,1
21,0,F,1,Male,1,1,0
27,1,M,0,Male,0,-1,1
24,0,F,0,Male,0,0,1
35,0,F,1,Male,1,0,1
29,1,F,1,Male,8,13,0
27,1,F,1,Male,6,30,1
20,0,F,0,Female,0,0,1
22,1,F,1,Male,1,0,1
30,0,M,0,Male,0,0,1
55,0,F,1,Female,2,1,1
31,0,F,1,Female,0,2,0
26,1,F,0,Male,0,1,1
20,1,F,0,Male,1,5,0
27,1,F,1,Male,2,0,1
27,0,M,0,Male,3,0,1
31,1,M,1,Male,15,4,0
29,0,M,0,Male,0,1,1
35,0,M,1,Male,4,29,1
25,0,F,0,Male,4,1,1
48,0,F,1,Male,0,2,1
24,1,F,0,Male,0,36,1
37,0,F,0,Male,1,0,1
23,1,F,1,Male,3,6,1
23,1,F,1,Male,3,0,0
